term 1
,Mon, Tue, Wed, Thu, Fri
1,高级语言程序设计,大学生心理适应指导,高级语言程序设计,大学物理-1,高等数学(工)-1
2,线性代数(工),物理实验（工）-1,中国近现代史纲要,概率论与数理统计（工）,新生研讨课
3,中国近现代史纲要,大学物理-1,高等数学(工)-1,线性代数(工),概率论与数理统计（工）
4,高等数学(工)-1,机械工程训练A,体育-1,,工程伦理
term 2
,Mon, Tue, Wed, Thu, Fri
1,高等数学(工)-2,大学物理-2,电路分析基础-1,思想道德与法治,习近平新时代中国特色社会主义思想概论
2,,C++语言程序设计,高等数学(工)-2,高级语言程序设计课设,物理实验（工）-2
3,,大学英语（综合）,大学英语（综合）,体育-2,高等数学(工)-2
4,面向对象程序设计,面向对象程序设计,思想道德与法治,大学物理-2,
term 3
,Mon, Tue, Wed, Thu, Fri
1,模拟电子技术,,,,体育-3
2,,,大学英语（高级）,毛泽东思想和中国特色社会主义理论体系概论,集合与图论
3,大学英语（高级）,,,,
4,,,数字信号处理,集合与图论,毛泽东思想和中国特色社会主义理论体系概论
term 4
,Mon, Tue, Wed, Thu, Fri
1,,,体育-4,,
2,数字逻辑,,数据结构与算法,,数字逻辑
3,,,,马克思主义基本原理,数据结构与算法
4,,马克思主义基本原理,,,代数与逻辑
term 5
,Mon, Tue, Wed, Thu, Fri
1,编译原理,,计算机组成原理,,
2,数据结构课设,人工智能导论,数据库原理,编译原理,
3,人工智能导论,计算机网络,,计算机网络,数据库原理
4,,,,,计算机组成原理
term 6
,Mon, Tue, Wed, Thu, Fri
1,,,计算机网络课设,,3D场景建模与开发
2,,软件工程引论,,软件工程引论,计算机系统结构
3,,,计算机组成原理课设,,
4,汇编语言程序设计,,,,
term 7
,Mon, Tue, Wed, Thu, Fri
1,,,,操作系统原理,学科前沿
2,,,,,写作技术
3,嵌入式系统设计技术,,工作实习,工作实习,
4,操作系统原理,,,,
term 8
,Mon, Tue, Wed, Thu, Fri
1,,,,,
2,,,,,毕业设计
3,毕业设计,毕业设计,,,
4,,,毕业设计,,
